分类: 🇹🇼台湾频道, 名称: 东森电影, 有效: 1, IPv4: 0, IPv6: 2, 最小延迟: 717 ms, 最高速率: 0.27 M/s, 平均速率: 0.27 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰香港频道, 名称: 翡翠台, 有效: 7, IPv4: 2, IPv6: 15, 最小延迟: 29 ms, 最高速率: 63.63 M/s, 平均速率: 28.87 M/s, 最高分辨率: 3840x2160, 平均帧率: 35.71, 视频编解码器: hevc, 音频编解码器: aac
分类: 🇹🇼台湾频道, 名称: 东森洋片, 有效: 1, IPv4: 0, IPv6: 5, 最小延迟: 651 ms, 最高速率: 0.29 M/s, 平均速率: 0.29 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇹🇼台湾频道, 名称: 三立新闻, 有效: 3, IPv4: 0, IPv6: 5, 最小延迟: 286 ms, 最高速率: 2.35 M/s, 平均速率: 0.29 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇹🇼台湾频道, 名称: 纬来体育, 有效: 3, IPv4: 0, IPv6: 5, 最小延迟: 979 ms, 最高速率: 0.66 M/s, 平均速率: 0.65 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🌏海外华语, 名称: 龙华电影, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰香港频道, 名称: 港台电视32, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: 239 ms, 最高速率: 0.14 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: hevc, 音频编解码器: aac
分类: 🌍国际频道, 名称: Euronews, 有效: 0, IPv4: 0, IPv6: 4, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🎬影视综艺, 名称: CHC动作电影, 有效: 3, IPv4: 2, IPv6: 5, 最小延迟: 136 ms, 最高速率: 7.67 M/s, 平均速率: 2.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰香港频道, 名称: 港台电视31, 有效: 0, IPv4: 0, IPv6: 2, 最小延迟: 153 ms, 最高速率: 0.16 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: hevc, 音频编解码器: aac
分类: 🇹🇼台湾频道, 名称: 纬来电影, 有效: 1, IPv4: 0, IPv6: 5, 最小延迟: 645 ms, 最高速率: 0.30 M/s, 平均速率: 0.30 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🎬影视综艺, 名称: CHC家庭影院, 有效: 5, IPv4: 3, IPv6: 5, 最小延迟: 79 ms, 最高速率: 7.57 M/s, 平均速率: 3.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🎬影视综艺, 名称: 星空卫视, 有效: 4, IPv4: 0, IPv6: 5, 最小延迟: 625 ms, 最高速率: 0.30 M/s, 平均速率: 0.28 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: ⚽体育频道, 名称: 五星体育, 有效: 1, IPv4: 1, IPv6: 4, 最小延迟: 626 ms, 最高速率: 0.30 M/s, 平均速率: 0.30 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🧒少儿动漫, 名称: 嘉佳卡通, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🧒少儿动漫, 名称: 哈哈炫动, 有效: 2, IPv4: 1, IPv6: 5, 最小延迟: 636 ms, 最高速率: 0.30 M/s, 平均速率: 0.30 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🧒少儿动漫, 名称: 卡酷少儿, 有效: 0, IPv4: 4, IPv6: 3, 最小延迟: 10010 ms, 最高速率: 0.04 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🧒少儿动漫, 名称: 优漫卡通, 有效: 3, IPv4: 1, IPv6: 3, 最小延迟: 99 ms, 最高速率: 5.13 M/s, 平均速率: 3.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📚纪实人文, 名称: 纪实人文, 有效: 1, IPv4: 0, IPv6: 2, 最小延迟: 743 ms, 最高速率: 0.26 M/s, 平均速率: 0.26 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🧒少儿动漫, 名称: 金鹰卡通, 有效: 4, IPv4: 5, IPv6: 5, 最小延迟: 648 ms, 最高速率: 0.30 M/s, 平均速率: 0.27 M/s, 最高分辨率: 1280x720, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 🎵音乐戏曲, 名称: 风云音乐, 有效: 1, IPv4: 1, IPv6: 3, 最小延迟: 574 ms, 最高速率: 6.21 M/s, 平均速率: 6.21 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📚纪实人文, 名称: 发现之旅, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
